,종목명,현재가격,거래량
0,KODEX 200선물인버스2X,"3,390","111,471,672"
1,KODEX 코스닥150선물인버스,"5,260","31,721,663"
2,SH에너지화학,"1,045","25,158,733"
3,현대약품,"6,350","19,361,538"
4,KODEX 인버스,"5,070","19,146,340"
5,KODEX 레버리지,"13,965","17,122,039"
6,국동,"2,070","11,519,854"
7,GS글로벌,"3,520","9,995,078"
8,KODEX 코스닥150레버리지,"7,845","9,462,299"
9,아남전자,"2,505","9,201,250"
10,TIGER 차이나전기차SOLACTIVE,"16,615","7,852,336"
11,일동제약,"41,550","7,406,054"
12,삼성 인버스 2X WTI원유 선물 ETN,115,"6,912,583"
13,대한전선,"1,765","6,253,254"
14,TIGER 200선물인버스2X,"3,540","6,035,973"
15,삼성전자,"58,200","6,000,443"
16,사조동아원,"1,515","4,176,764"
17,쌍방울,547,"3,508,402"
18,삼부토건,"2,175","3,500,941"
19,고려산업,"6,750","3,412,990"
20,까뮤이앤씨,"2,245","3,260,986"
21,DB하이텍,"41,800","2,844,885"
22,대성에너지,"11,350","2,722,919"
23,신한 인버스 2X 천연가스 선물 ETN,355,"2,424,284"
24,TRUE 인버스 2X 천연가스 선물 ETN(H),645,"2,394,990"
25,KODEX 코스닥150,"10,600","2,309,075"
26,부산주공,822,"2,272,972"
27,후성,"16,100","2,232,668"
28,삼성중공업,"5,360","2,122,372"
29,KODEX 200,"30,545","2,063,793"
30,NPC,"9,030","2,053,317"
31,두산에너빌리티,"17,950","1,971,072"
32,에이프로젠 MED,"1,600","1,924,068"
33,팬오션,"5,200","1,845,955"
34,KBSTAR KIS단기종합채권(AA-이상)액티브,"100,795","1,683,621"
35,KODEX WTI원유선물인버스(H),"4,315","1,655,217"
36,LG디스플레이,"14,550","1,609,792"
37,KEC,"2,515","1,537,589"
38,일동홀딩스,"31,650","1,514,688"
39,국제약품,"5,900","1,492,075"
40,서울식품,251,"1,445,016"
41,신한 인버스 2X WTI원유 선물 ETN(H),110,"1,385,873"
42,신일전자,"2,075","1,350,447"
43,TYM,"2,390","1,331,488"
44,SK하이닉스,"93,100","1,277,694"
45,대한제당,"3,255","1,233,543"
46,대한항공,"23,400","1,205,464"
47,SK바이오사이언스,"147,000","1,188,162"
48,대원화성,"2,815","1,152,374"
49,와이투솔루션,756,"1,128,800"
50,TIGER 원유선물인버스(H),"3,005","1,127,707"
51,KODEX 은행,"5,910","1,085,261"
52,써니전자,"2,700","1,062,896"
53,한창,909,"1,053,837"
54,대호에이엘,"2,355","1,000,147"
55,HMM,"23,550","973,169"
56,우리금융지주,"11,350","971,826"
57,부광약품,"8,930","950,613"
58,KODEX 2차전지산업,"16,690","939,832"
59,광명전기,"2,965","929,331"
60,하나금융지주,"35,800","898,378"
61,미래에셋증권,"6,140","896,678"
62,일진홀딩스,"6,400","881,019"
63,에스디바이오센서,"48,300","859,310"
64,한신기계,"8,830","857,511"
65,대성산업,"5,050","853,042"
66,TIGER 2차전지테마,"16,830","837,261"
67,한국토지신탁,"1,610","827,618"
68,대한해운,"2,315","806,107"
69,카카오뱅크,"29,900","799,026"
70,진흥기업,"1,615","797,556"
71,SG세계물산,542,"782,643"
72,신성이엔지,"1,830","781,044"
73,TIGER 코스닥150선물인버스,"5,380","770,328"
74,TIGER KEDI혁신기업ESG30,"8,685","756,062"
75,수산중공업,"3,005","746,728"
76,동양철관,"1,055","732,617"
77,대원제약,"18,950","717,361"
78,카카오,"69,700","716,433"
79,진원생명과학,"11,700","692,600"
80,신송홀딩스,"11,850","688,309"
81,KODEX 미국달러선물인버스2X,"7,125","688,224"
82,신한 인버스 2X 천연가스 선물 ETN(H),215,"687,539"
83,한화투자증권,"3,020","661,627"
84,삼성 블룸버그 인버스 2X WTI원유 선물 ETN,"17,285","656,617"
85,KG스틸,"12,300","642,656"
86,남선알미늄,"2,060","640,767"
87,기아,"78,000","636,393"
88,제이알글로벌리츠,"4,370","630,247"
89,한화생명,"2,095","612,660"
90,TIGER 인버스,"5,650","610,037"
91,이연제약,"25,950","607,224"
92,한국항공우주,"47,900","605,519"
93,TIGER 미국필라델피아반도체나스닥,"8,915","596,121"
94,신한지주,"35,700","591,734"
95,신풍제약,"25,800","590,523"
96,QV 인버스 레버리지 WTI원유 선물 ETN(H),100,"578,278"
97,에어부산,"1,365","574,407"
98,모나미,"3,630","554,427"
99,국보,"1,170","549,696"
